tiempo,mu
0.142725449,0.000781
0.142879013,0.000788
0.143032578,0.000795
0.143186143,0.000803
0.143331754,0.00081
0.143477365,0.000817
0.143622976,0.000824
0.143749615,0.000831
0.143876253,0.000837
0.144002892,0.000843
0.144129531,0.00085
0.14425617,0.000856
0.144382809,0.000862
0.144541108,0.00087
0.144677901,0.000877
0.144814694,0.000884
0.144929541,0.00089
0.145044388,0.000896
0.145159235,0.000901
0.145274082,0.000907
0.145388929,0.000913
0.145503776,0.000919
0.145618623,0.000925
0.145717599,0.00093
0.145816574,0.000935
0.145904878,0.000939
0.145993182,0.000944
0.146081486,0.000948
0.14616979,0.000953
0.146258094,0.000957
0.146346399,0.000962
0.146434703,0.000966
0.146523007,0.000971
0.146611311,0.000975
0.146686743,0.000979
0.146762175,0.000983
0.146830972,0.000987
0.146899769,0.000991
0.146968566,0.000994
0.147037363,0.000998
0.147123359,0.001
0.147209355,0.00101
0.147295351,0.00101
0.147402847,0.00102
0.147510342,0.00102
0.147644711,0.00103
0.14777908,0.00104
0.147947041,0.00104
0.148115002,0.00105
0.148324954,0.00106
0.148534905,0.00107
0.148717182,0.00108
0.148899458,0.00109
0.149081734,0.0011
0.149245249,0.00111
0.149408764,0.00112
0.149536804,0.00112
0.149641694,0.00113
0.14974055,0.00113
0.149839405,0.00114
0.149923565,0.00114
0.150007725,0.00114
0.150080931,0.00115
0.150154137,0.00115
0.150227342,0.00115
0.150300548,0.00116
0.150373754,0.00116
0.150446959,0.00116
0.150520165,0.00116
0.150611672,0.00117
0.150694805,0.00117
0.150777938,0.00117
0.150861071,0.00118
0.150944204,0.00118
0.151027337,0.00118
0.15111047,0.00119
0.151214386,0.00119
0.151318302,0.0012
0.151422218,0.0012
0.151526134,0.0012
0.15163005,0.00121
0.151759946,0.00121
0.151889841,0.00121
0.152019736,0.00122
0.152182105,0.00122
0.1523276,0.00123
0.152473094,0.00123
0.152618589,0.00124
0.152764083,0.00124
0.152909578,0.00124
0.153055073,0.00125
0.153200567,0.00125
0.153346062,0.00125
0.153491556,0.00126
0.153673425,0.00126
0.153855293,0.00126
0.154037161,0.00127
0.154219029,0.00127
0.154377958,0.00127
0.154536887,0.00127
0.154682534,0.00128
0.154828181,0.00128
0.154973829,0.00128
0.155119476,0.00128
0.155241496,0.00128
0.155363517,0.00128
0.155470847,0.00129
0.155578178,0.00129
0.155685508,0.00129
0.155792838,0.00129
0.155900168,0.00129
0.156007498,0.00129
0.156114829,0.00129
0.156248992,0.00129
0.156383154,0.00129
0.156550858,0.00129
0.156760487,0.00129
0.157022524,0.00129
0.157284561,0.00128
0.157546597,0.00128
0.157808634,0.00128
0.158023955,0.00128
0.15820123,0.00128
0.158364322,0.00128
0.158527413,0.00127
0.158681174,0.00127
0.158825769,0.00127
0.158970363,0.00127
0.159114958,0.00126
0.159259553,0.00126
0.159404147,0.00126
0.159548742,0.00125
0.159693337,0.00125
0.159837932,0.00125
0.160018675,0.00124
0.160199418,0.00124
0.160425348,0.00123
0.160632971,0.00122
0.160826658,0.00122
0.161020345,0.00121
0.161202212,0.00121
0.161384078,0.0012
0.161565945,0.00119
0.161747811,0.00119
0.161906084,0.00118
0.162047341,0.00118
0.162178007,0.00117
0.162308673,0.00117
0.16242691,0.00117
0.162545146,0.00116
0.162663383,0.00116
0.162781619,0.00115
0.162899856,0.00115
0.163018092,0.00114
0.163165888,0.00114
0.163313684,0.00113
0.163461479,0.00113
0.163609275,0.00112
0.163757071,0.00112
0.163904866,0.00111
0.164052662,0.00111
0.164200458,0.0011
0.164348253,0.0011
0.164496049,0.00109
0.164643845,0.00109
0.16479164,0.00108
0.164976385,0.00107
0.165207315,0.00107
0.165438246,0.00106
0.16562348,0.00105
0.165779519,0.00105
0.165935557,0.00104
0.166091596,0.00104
0.166247635,0.00103
0.166403674,0.00103
0.166559712,0.00102
0.166715751,0.00102
0.16687179,0.00101
0.167012755,0.00101
0.16715372,0.001
0.167294686,0.000995
0.167435651,0.00099
0.167576616,0.000985
0.167709947,0.00098
0.167835838,0.000975
0.167961728,0.000971
0.168087619,0.000966
0.168213509,0.000961
0.1683394,0.000956
0.16846529,0.000951
0.168622654,0.000944
0.168780017,0.000938
0.16893738,0.000932
0.169094743,0.000925
0.169252106,0.000919
0.169409469,0.000912
0.169566833,0.000906
0.169763537,0.000898
0.169960241,0.00089
0.170206121,0.00088
0.170397809,0.000873
0.17055678,0.000867
0.170703614,0.000862
0.170829493,0.000857
0.170944185,0.000853
0.171058877,0.000849
0.171173569,0.000844
0.171288261,0.00084
0.171402953,0.000836
0.171517645,0.000831
0.171622714,0.000827
0.171727783,0.000823
0.171832852,0.000819
0.171937921,0.000815
0.17204299,0.000811
0.172174326,0.000806
0.172305662,0.000801
0.172469833,0.000795
0.172675046,0.000788
0.172880258,0.00078
0.173136774,0.000771
0.173457419,0.00076
0.173778064,0.000749
